State,City,1950,1960,1970,1980,1990,2000,2010,LAT,LON
AK,Anchorage,11254,44237,48081,174431,226338,260283,291826,61.17755,-149.274
AZ,Phoenix,106818,439170,584303,789704,983403,1321045,1445632,33.57216,-112.088
CA,Los Angeles,1970358,2479015,2811801,2968579,3485398,3694820,3792621,34.01939,-118.411
CA,San Diego,334387,573224,697027,875538,1110549,1223400,1307402,32.8153,-117.135
FL,Miami,249276,291688,334859,346681,358548,362470,399457,25.77516,-80.2086
GA,Atlanta,331314,487455,495039,425022,394017,416474,420003,33.76291,-84.4227
HI,Honolulu,248034,294194,324871,365048,365272,371657,387170,21.32585,-157.845
IL,Chicago,3620962,3550404,3369357,3005072,2783726,2896016,2695598,41.83755,-87.6818
IN,Fort Wayne,133607,161776,178269,172391,173072,205727,253691,41.08817,-85.1439
KY,Louisville,369129,390639,361706,298694,269063,256231,597337,38.17808,-85.6667
MI,Detroit,1849568,1670144,1514063,1203368,1027974,951270,713777,42.38304,-83.1022
MN,Minneapolis,521718,482872,434400,370951,368383,382618,382578,44.96332,-93.2683
NY,New York City,7891957,7781984,7895563,7071639,7322564,8008278,8175133,40.66427,-73.9385
OH,Cleveland,914808,876050,750879,573822,505616,478403,396815,41.47814,-81.6795
TN,Nashville,174307,170874,448003,455651,488374,545524,601222,36.1718,-86.785
TX,Corpus Christi,108287,167690,204525,232134,257453,277454,305215,27.80455,-97.3963
TX,Houston,596163,938219,1233535,1595138,1630553,1953631,2099451,29.78047,-95.3863
NV,Las Vegas,"24,624","64,405","125,787","164,674","258,295","478,434","583,756",36.0719,-115.1634