NAME,Population,LATITUDE,LONGITUDE,ELEVATION,AWND,CDSD,CLDD,DP01,DP10,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,EMNT,EMSD,EMSN,EMXP,EMXT,EVAP,HDSD,HTDD,MNPN,MXPN,PRCP,PSUN,SNOW,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WDMV,WSF1,WSF2,WSF5,WSFG,WSFM
Corpus Christi ,322726,27.774199999999855,-97.51219999999857,13.399999999999793,11.687587822014054,1753.1868263473054,296.45868263473056,6.388023952095808,3.453892215568862,0.004120879120879121,0.006868131868131868,0.0,0.4502994011976048,0.01437125748502994,25.594011976047906,9.402395209580838,49.21437125748503,0.008241758241758242,0.008241758241758242,1.2076047904191618,91.62155688622755,,470.5556886227545,77.1748502994012,,,2.536550898203593,59.624122807017606,0.011263736263736264,72.14970059880254,81.5480239520958,62.75257485029932,12571.412393162393,174.15584415584416,164.54225352112675,169.57597173144876,212.80645161290323,216.32142857142858,,30.927272727272754,36.016197183098576,45.342756183745585,44.16967741935491,36.59214285714285
New York,8560072,40.63859999999939,-73.76219999999918,3.400000000000047,11.206791569086667,83.37482900136798,6.147742818057456,0.5417236662106704,6.4911080711354305,11.471956224350205,34.55403556771546,1.210396716826265,76.35841313269493,411.13543091655265,,54.11504787961696,46.906976744186046,234.20212765957447,237.19424460431654,,36.74874551971324,43.76846473029049,,,,,,,,,,,,,,,,,,,,,,
Toledo,279455,41.58710000000046,-83.8055000000008,205.399999999997,8.678454332552686,360.778064516129,62.2658064516129,11.216774193548387,6.0606451612903225,3.8145985401459854,1.0043668122270741,0.6335483870967742,11.171612903225807,3.846451612903226,12.056774193548387,1.3341935483870968,23.305806451612902,1.5927007299270073,1.3435225618631723,0.9633548387096773,76.94451612903225,,3102.7958387516255,532.058064516129,,,2.809006451612901,50.92456140350879,3.207569141193593,49.45303225806443,59.31458064516137,39.583741935483864,10818.621287128713,228.42105263157896,244.04929577464787,247.7112676056338,242.34939759036143,253.65,,28.678947368421053,34.93450704225352,47.07746478873239,43.755020080321366,32.931666666666665
Cleveland ,388812,41.405699999999705,-81.85199999999928,238.0,9.56674473067916,63.94491017964072,7.188023952095809,1.5413173652694612,9.897005988023952,11.749700598802395,26.124550898203594,1.7419161676646704,77.37604790419162,501.16766467065867,48.16851851851848,50.52538922155689,41.73305389221556,222.7927927927928,242.42957746478874,226.36241610738256,35.61690140845072,45.524912280701784,,,,,,,,,,,,,,,,,,,,,,
Nashville,654187,36.11889000000062,-86.68916999999908,182.89999999999714,7.066978922716625,143.6239520958084,6.640718562874252,0.23651452282157676,6.091017964071856,16.99880239520958,33.689820359281434,0.4929460580912862,84.1880239520958,303.68502994011976,55.14625550660795,59.65401197604795,49.13473053892211,247.96812749003985,219.82014388489208,233.92857142857142,29.92661870503599,41.71924290220828,,,,,,,,,,,,,,,,,,,,,,
Houston,2267336,29.638060000000213,-95.28194000000067,13.399999999999793,7.640873015873013,1521.4702308626975,260.27338129496405,8.406474820143885,5.335731414868105,0.001669449081803005,0.0049833887043189366,0.0,0.6750599520383693,0.022781774580335732,23.796163069544363,7.916067146282973,48.24460431654676,0.005008347245409015,0.011960132890365448,1.7659592326139086,88.91486810551558,,640.1881785283474,105.6558752997602,,,4.292973621103119,57.31320754716981,0.011960132890365448,70.01894484412468,79.09532374100716,60.94160671462823,8960.842105263158,211.69811320754718,217.56972111553785,210.48,219.625,,,30.05471698113208,32.24820717131476,43.048,43.81875,
Louisville,615478,38.18110000000069,-85.73909999999981,148.699999999998,7.806117647058825,727.4694610778444,125.11976047904191,10.34052757793765,6.547961630695443,1.0703883495145632,0.3774271844660194,0.10059880239520957,7.0119760479041915,1.355688622754491,15.41437125748503,3.138922155688623,31.94251497005988,0.741504854368932,0.7586165048543689,1.2965947242206233,82.38203592814371,,2143.176047904192,359.9916167664671,,,3.804004796163065,55.266228070175444,1.298058252427184,57.187425149700665,66.88766467065871,47.48934131736531,12192.66404199475,249.39655172413794,246.86666666666667,245.93333333333334,248.1164383561644,257.83261802575106,,26.749137931034483,34.736000000000004,43.43333333333333,41.98253424657538,31.763519313304723
Detroit,679865,42.40916999999964,-83.01000000000042,190.79999999999978,8.492574257425742,72.5343137254902,5.596421471172962,0.9657142857142857,9.682151589242054,11.50061199510404,28.01833740831296,1.0919999999999999,75.78090575275398,509.0526960784314,47.693749999999994,50.50686274509801,42.40366748166263,246.33165829145727,250.65420560747663,279.0,30.632710280373868,52.365573770491835,,,,,,,,,,,,,,,,,,,,,,
Las Vegas ,621662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anchorage,298225,61.19456817150211,-149.94370984867345,46.35245901639351,6.899765807962537,2.2525117213663766,0.4506329113924051,9.502208201892744,4.052365930599369,12.983407785577537,1.8080357142857142,2.364267676767677,15.921085858585858,9.195569620253165,1.3556962025316455,0.0006329113924050633,15.327651515151516,7.220804084237396,2.403380102040818,0.4271230283911672,56.35886075949367,,5237.0985820391625,866.2341772151899,,,1.3581525851197995,43.047368421052596,6.23195153061226,36.287405063291125,43.148417721519024,29.422474747474755,9185.932394366197,156.3939393939394,163.29710144927537,154.5734597156398,185.09197080291972,,,25.429393939393908,28.226811594202907,39.91943127962085,39.44920174165459,
Phoenix,1574421,33.49910000000062,-112.36299999999868,317.0,,301.97202797202794,1.4895287958115184,0.0,1.4602739726027398,24.915416098226466,45.06986301369863,0.0,97.34788540245566,112.7048951048951,,71.36454293628809,55.470821917808145,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Diego ,1390966,32.73359999999964,-117.18309999999869,4.5999999999999375,6.373302107728342,66.54610778443114,1.7149700598802395,0.0,0.0011976047904191617,16.33892215568862,51.56526946107785,0.0,82.39760479041917,94.07065868263473,69.05701754385967,64.06706586826355,57.54730538922152,,241.85454545454544,269.4325842696629,22.7699275362319,29.993059936908473,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,3949776,34.02360000000038,-118.29110000000126,54.59999999999916,1.8679166666666716,113.1245508982036,1.8179640718562875,0.0,0.004790419161676647,21.33892215568862,50.11137724550898,0.0011494252873563218,89.24910179640719,84.3748502994012,72.27569444444444,65.91293413173658,56.74023952095809,,258.9539748953975,244.11764705882354,13.772083333333303,27.925,,,,,,,,,,,,,,,,,,,,,,
Miami,443007,25.75882127208523,-80.30313985865872,7.0784452296819325,8.388758782201407,1040.1051502145922,146.686925795053,4.67986798679868,2.462137296532201,17.42999289267946,35.03685329553508,0.0,52.719434628975264,7.623321554770318,35.49620437956205,45.67901060070672,65.44261484098944,74.88421052631578,53.259085580304806,1.4968166089965398,68.2974329054843,39.3548387096774,72.7708703374778,12.446551724137931,,,4.054636678200692,63.902877697841724,0.0,75.9941379310345,80.9036206896551,71.08241379310344,14137.640287769784,,,,,,,,,,,
Atlanta,465230,33.6300999999995,-84.44180000000043,307.79999999999535,8.278220140515225,152.74610778443113,6.37245508982036,0.06460296096904442,3.7053892215568864,18.108982035928143,38.85149700598802,0.1576043068640646,83.83233532934132,235.26706586826347,60.50088105726872,62.21580838323356,52.493053892215634,233.95652173913044,247.8125,237.15328467153284,31.645138888888937,42.19610389610392,,,,,,,,,,,,,,,,,,,,,,
Chicago,2722586,41.73719999999984,-87.77749999999813,189.0,,501.0327272727273,87.25270758122744,10.433212996389893,6.0577617328519855,3.9577804583835947,1.0277777777777777,0.605294825511432,9.59927797833935,3.576413959085439,12.126353790613718,1.8231046931407942,27.167268351383875,1.993968636911942,1.507850241545894,1.1421299638989184,77.92418772563177,,2914.0388821385177,504.03971119133575,,,3.1849819494584835,54.22500000000001,3.505193236714973,51.18640192539102,59.65270758122742,42.72009626955474,12547.3,,,,240.85625,222.25,,,,,45.839062500000026,33.121666666666655
Fort Wayne,262450,40.97049999999977,-85.20629999999984,241.1000000000036,9.12763466042154,404.3820359281437,69.40598802395209,11.093413173652694,6.31377245508982,3.44311377245509,0.8646706586826347,0.688622754491018,10.694610778443113,3.609580838323353,12.493413173652694,1.3245508982035927,24.3437125748503,1.5640718562874252,1.2427544910179644,1.0401077844311373,76.92694610778443,,3025.417964071856,514.6299401197605,,,3.1111976047904206,60.08728070175437,2.820838323353292,50.264431137724536,59.90299401197596,40.622754491017965,14006.748743718594,247.85714285714286,247.1480144404332,243.50180505415162,248.49264705882354,256.8865030674847,,29.978571428571424,35.571119133573994,45.454873646209386,43.259926470588255,34.48588957055216
Las Vegas,,36.07189999999975,-115.16340000000093,664.5,8.529812206572775,272.9688622754491,0.9077844311377246,0.017985611510791366,2.117365269461078,19.88622754491018,44.39880239520958,0.03693045563549161,91.65149700598802,185.1808383233533,84.73938053097345,67.8039520958084,55.5182035928144,236.35036496350364,239.30313588850174,246.1304347826087,35.91184668989548,47.281188118811905,,,,,,,,,,,,,,,,,,,,,,
